Language,language family,secondary family,Stress system type,Rightward primary stress,Consonant duration,Correlates for Primary/secondary different?,duration,pitch,intensity,Primary correlate,Vowel reduction,Length = contrastive,Length: affected by other qualities,Pitch = contrastive,final lapse,final lapse morpheme specific,source(s)
Italian,Indo-European,Italic,1,1,,0,1,1,0,,1,0,,0,1,,"D’Imperio & Rosenthall (1999); Alfano, Llisterri, & Savy (2007); Crosswhite (2001)"
Jaqaru,Aymaran,Jaqaru,1,1,,0,0,1,0,2,0,1,,0,0,,Hardman (1966)
Jarawara,Arauan,,1,1,,0,0,0,1,3,0,1,,0,0,,Dixon (2004)
Jingulu,Australian,West Barkly,2,1,,0,1,0,1,,0,1,,0,,,"Pensalfini (1997, 2003)"
Kabardian,Northwest Caucasian,Circassian,0,1,,,1,1,1,2,0,3,,0,,,"Colarusso (1992), Gordon & Applebaum (2010)"
Kadiweu (Non-Noble),Guaicuruan,,3,1,,0,0,0,1,3,0,1,,0,,,Sandalo (1997)
Kamass,Uralic,Samoyed,0,0,,,0,0,1,3,1,3,,0,,,"Simoncsics (1998), Künnap (1999)"
Kaqchikel,Mayan,Quichean–Mamean,0,1,,,1,0,1,,0,0,,0,,,"Berinstein (1979), Bennett (to appear); StressTyp"
Karitiana,Tupian,Arikem,1,1,,0,1,1,1,3,0,1,,0,0,,Everett (2006)
Kashibo-Kakataibo,Panoan,Mainline Panoan,1,0,,0,1,0,0,1,1,3,,1,1,,Biondi (2011)
Konkow,Maiduan,Konkow,0,0,,,0,1,1,,0,1,,0,,,Ultan (1967)
Koromfe,Niger–Congo,Atlantic–Congo,0,0,,,0,0,1,3,0,1,,0,,,Rennison (1997)
Kuku Yalanji,Australian,Pama-Nyungan,0,0,,,0,1,1,,0,0,,0,,,Patz (2002)
Kurtöp,Sino-Tibetan,Tibeto-Kanauri,0,0,,,1,1,0,,0,1,,1,,,Hyslop (2011)
Lenakel,Austronesian,Malayo-Polynesian,1,1,,0,0,1,1,,0,2,,0,0,,"Lynch (1978, p.c.), Hayes (1995)"
Leti,Austronesian,Malayo-Polynesian,1,1,,0,1,1,0,1,0,2,,0,1,1,"Hume (1997), Hume et al. (1997)"
Limilngan,Australian,Limilngan-Wulna,1,1,,0,1,0,1,3,1,0,,0,1,,Harvey (2001)
Macedonian (Literary),Indo-European,Slavic,0,1,,,1,0,0,1,0,0,,0,,,Friedman (1993)
Maidu (Mountain),Penutian,Maiduan,1,0,,1,1,1,1,,0,0,,0,1,,"Shipley (1964), Rice (2010)"
Maithili,Indo-European,Indo-Iranian,0,1,,,1,0,0,1,0,0,,0,,,"Yadav (1980), Mishra (2006)"
Maltese,Semitic,Central Semitic,0,1,,,0,1,1,0,1,1,,0,,,Borg & Azzopardi-Alexander (1997)
Manambu,Sepik-Ramu,Sepik,0,1,,,0,0,1,3,0,2,,0,,,Aikhenvald (2008)
Mangghuer,Mongolic,Shirongolic,0,1,,,0,1,1,,1,0,,0,,,Slater (2003)
Maquiritari/Ye'kuana/Dekwana,Cariban,Guianan Carib,1,1,,0,0,1,1,,0,1,,0,0,,Hall (1988)
Masbatenyo,Austronesian,Malayo-Polynesian,0,1,,,1,1,1,1,0,1,,0,,,Rosero (2014)
Matses,Panoan,Mayoruna,1,0,,0,1,1,0,,0,3,,0,0,,Fleck (2003)
Mauwake,Trans–New Guinea,Madang,0,0,,,1,1,1,,0,1,,0,,,Berghäll (2010)
Menggwa Dla,Senagi,Dera,1,1,,0,0,0,1,3,0,0,,0,0,,de Sousa (2006)
Menominee,Algonquin,Central,1,0,,1,1,1,0,,1,1,,0,1,,"Miner (1979), Milligan (2005)"
Mixe (Ayutla),Mixe-Zoque,Mixean,1,1,,0,0,1,1,,1,1,,0,0,,Romero-Méndez (2009)
Mocho,Mayan,Kanjobalan-Chujean,0,1,,,1,1,0,2,0,1,,1,,,Palosaari (2011)
Moghol,Mongolic,Mogholi,0,1,,,0,1,0,2,,0,,0,,,"Weiers (2003), Jan-Olof Svantesson (2005)"
Mohawk,Iroquoian,Northern,0,1,,,0,1,1,2,1,3,,0,,,"Michelson (1983), Hopkins (1988)"
Mongghul (Karlong),Mongolic,Shirongolic,0,1,,,0,1,1,,0,1,,0,,,Faehndrich (2007)
Movima,Isolate2,,0,1,,,0,1,0,2,,1,,0,,,Haude (2006)
"Nahuatl, Balsas",Uto-Aztecan,Southern Uto-Aztecan,0,1,,,1,0,1,,0,0,,1,,,Guion et al (2010)
Nambikuara,Nambikwaran,Nambikwara,0,0,2,,1,1,1,1,0,0,,1,,,"Lowe (1999), Kroeker (2001)"
Nepali,Indo-European,Sanskrit,0,1,,,1,1,1,,1,0,,0,,,"Acharya (1991), Matthews (1998)"
Ngigua,Oto-Manguean,Popolocan,0,1,2,,1,0,0,1,,3,,1,,,Stark Campbell (2011)
Nhanda,Australian,Pama-Nyungan,1,0,,0,1,0,0,,1,1,,0,1,,Blevins (2001)
Nisenan,Maiduan,Nisenan,0,0,,,0,1,1,,0,1,,0,,,"Paul (1967), Eatough (1999)"
Norwegian,Indo-European,Germanic,1,1,,0,1,0,1,,0,3,,1,1,,"Lunden (field data), Kristoffersen (2000)"
Nubi,Arabic Creole,,0,1,,,1,1,1,,1,0,,1,,,Wellens (2005)
Onondaga,Iroquoian,Northern,0,1,,,0,0,1,3,0,1,,0,,,"Chafe (1970), Michelson (1983)"
Páez,Paezan,Páez,0,,,,0,1,0,2,0,1,,0,,,Gerdel (1985)
